Location,Cluster,date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,0mm,100mm,500mm,800mm,1100mm,Rainfall,Wind_Speed,Wind_Direction,Humidity,Solar_Radiation,Snow
Busan,Hot,9/1/2019 0:00,1567296000,23.7,23.7,23.7,23.7,25,30,29,30,32,0,2.8,270,79,0,0
Busan,Hot,9/1/2019 1:00,1567299600,23.4,23.67272727,23.69851485,23.69997275,24.5,30,29,30,32,0,2,290,79,0,0
Busan,Hot,9/1/2019 2:00,1567303200,23.1,23.62066116,23.69481668,23.69989352,24,30,29,30,31.5,0,0.4,0,77,0,0
Busan,Hot,9/1/2019 3:00,1567306800,23.3,23.59151014,23.69103137,23.69978525,24.5,30,29,30,32,0,0.8,90,77,0,0
Busan,Hot,9/1/2019 4:00,1567310400,22.9,23.52864558,23.68524146,23.69961428,24,29.5,29,30,31.5,0,1.5,70,81,0,0
Busan,Hot,9/1/2019 5:00,1567314000,22.7,23.45331417,23.67749773,23.69936822,24,29.5,29,30,31.5,0,1.4,70,82,0,0
Busan,Hot,9/1/2019 6:00,1567317600,22.4,23.35755833,23.66733995,23.69902676,23.5,29.5,29,30,31.5,0,0.2,0,82,0,0
Busan,Hot,9/1/2019 7:00,1567321200,22.7,23.2977803,23.65752254,23.69862591,24,29.5,29,30,31.5,0,1.1,70,81,0.08,0
Busan,Hot,9/1/2019 8:00,1567324800,23.3,23.29798209,23.65089252,23.69822567,24.5,29.5,29,30,32,0,1.4,90,76,0.35,0
Busan,Hot,9/1/2019 9:00,1567328400,24.3,23.38907463,23.65082374,23.69791682,27,30,28.5,30,32,0,1.4,90,72,0.61,0
Busan,Hot,9/1/2019 10:00,1567332000,25.5,23.58097694,23.65994402,23.6978,31,30.5,28.5,30,32,0,1.2,90,65,0.83,0
Busan,Hot,9/1/2019 11:00,1567335600,26.2,23.81906994,23.67703355,23.69792115,33,31,28.5,30,32,0,1.8,110,66,1.48,0
Busan,Hot,9/1/2019 12:00,1567339200,26.7,24.08097268,23.7004589,23.69830382,34,31.5,28.5,30,32,0,2.4,200,74,1.75,0
Busan,Hot,9/1/2019 13:00,1567342800,26.7,24.31906607,23.72690481,23.69892396,34,31.5,28.5,30,32,0,2.1,180,72,1.58,0
Busan,Hot,9/1/2019 14:00,1567346400,26.2,24.49006006,23.7522399,23.69971431,31.5,31.5,28.5,30,32,0,2.8,200,73,1.03,0
Busan,Hot,9/1/2019 15:00,1567350000,25.1,24.54550915,23.7714541,23.70055926,27,31.5,29,30,32,0,2.3,200,82,0.67,0
Busan,Hot,9/1/2019 16:00,1567353600,24.6,24.55046286,23.78506779,23.70140831,26,31,29,30,32,0,2.1,180,85,0.4,0
Busan,Hot,9/1/2019 17:00,1567357200,24.2,24.5186026,23.79386136,23.70222469,25,31,29,30,32,0,2.1,200,86,0.26,0
Busan,Hot,9/1/2019 18:00,1567360800,23.6,24.43509327,23.79725491,23.70295683,24.5,30.5,29,30,31.5,0,2,70,90,0.1,0
Busan,Hot,9/1/2019 19:00,1567364400,23.4,24.34099389,23.79696827,23.70359423,24,30.5,29,30,31.5,0.3,1.3,90,93,0.02,0
Busan,Hot,9/1/2019 20:00,1567368000,22.6,24.18272171,23.79090078,23.70407287,23.5,30,29,30,31.5,1.1,1.8,20,94,0,0
Busan,Hot,9/1/2019 21:00,1567371600,21.9,23.97520156,23.77853618,23.70434373,23,29.5,29,30,31.5,0.7,1.4,50,91,0,0
Busan,Hot,9/1/2019 22:00,1567375200,21.6,23.75927414,23.76163026,23.70439861,23,29.5,29,30,31.5,0.2,1.3,50,92,0,0
Busan,Hot,9/1/2019 23:00,1567378800,21.9,23.59024922,23.744045,23.70428457,23.5,29.5,29,30,31.5,0,0.2,0,94,0,0
Busan,Hot,9/2/2019 0:00,1567382400,22.2,23.46386293,23.72769564,23.70404439,23.5,29.5,29,30,31.5,0,0.9,70,91,0,0
Busan,Hot,9/2/2019 1:00,1567386000,22.2,23.3489663,23.71203905,23.70368967,23.5,29.5,29,30,31.5,0,0.9,50,92,0,0
Busan,Hot,9/2/2019 2:00,1567389600,22.1,23.23542391,23.69630787,23.70322187,23.5,29,29,30,31.5,0.4,1.2,110,95,0,0
Busan,Hot,9/2/2019 3:00,1567393200,21.7,23.09583992,23.67863744,23.70261509,23,29,29,30,31.5,1,0.4,0,97,0,0
Busan,Hot,9/2/2019 4:00,1567396800,21.6,22.95985447,23.65959942,23.70187308,23,29,29,30,31.5,0.1,0.9,50,98,0,0
Busan,Hot,9/2/2019 5:00,1567400400,21.6,22.83623134,23.63997863,23.7010083,23,28.5,29,30,31.5,0,1.1,20,96,0,0
Busan,Hot,9/2/2019 6:00,1567404000,21,22.66930121,23.61719616,23.69997762,23,28.5,29,30,31.5,1.6,1.9,20,98,0,0
Busan,Hot,9/2/2019 7:00,1567407600,21.2,22.53572838,23.59395139,23.69881454,23,28.5,29,30,31.5,2,1.4,70,99,0.03,0
Busan,Hot,9/2/2019 8:00,1567411200,20.9,22.3870258,23.56910769,23.69750406,23,28,29,30,31.5,3.5,3,70,99,0.15,0
