Location,Cluster,date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,0mm,100mm,500mm,800mm,1100mm,RF,Wind_Speed,Wind_Direction,Humidity,Solar_Radiation,Snow,,,
ChunCheon,Cold,9/1/2019 0:00,1567296000,18.8,18.8,18.8,18.8,21.5,20,21,21.5,20.5,0,0.8,20,90,0,0,,,
ChunCheon,Cold,9/1/2019 1:00,1567299600,18.1,18.74,18.8,18.8,20.5,20,21,21,20.5,0,0.9,340,93,0,0,,,
ChunCheon,Cold,9/1/2019 2:00,1567303200,17.6,18.63,18.79,18.8,20,19.5,21,21,20.5,0,0,0,94,0,0,,,
ChunCheon,Cold,9/1/2019 3:00,1567306800,17.2,18.5,18.78,18.8,19.5,19.5,21,21,20.5,0,1.1,360,95,0,0,,,
ChunCheon,Cold,9/1/2019 4:00,1567310400,17.1,18.38,18.76,18.8,19.5,19.5,21,21,20.5,0,0.6,20,96,0,0,,,
ChunCheon,Cold,9/1/2019 5:00,1567314000,17.2,18.27,18.75,18.8,19.5,19.5,21,21,20.5,0,1,340,97,0,0,,,
ChunCheon,Cold,9/1/2019 6:00,1567317600,17.4,18.19,18.73,18.8,20,19.5,21,21,20.5,0,1.9,340,96,0,0,,,
ChunCheon,Cold,9/1/2019 7:00,1567321200,17.7,18.14,18.72,18.8,20.5,19.5,21,21,20.5,0,1.3,340,95,0.06,0,,,
ChunCheon,Cold,9/1/2019 8:00,1567324800,18.1,18.14,18.71,18.8,21,20,21,21,20.5,0,2,320,94,0.22,0,,,
ChunCheon,Cold,9/1/2019 9:00,1567328400,19.1,18.23,18.71,18.8,22.5,20,21,21,20.5,0,1.6,340,88,0.46,0,,,
ChunCheon,Cold,9/1/2019 10:00,1567332000,20.4,18.43,18.72,18.8,24.5,21,21,21,21,0,0.6,290,81,0.97,0,,,
ChunCheon,Cold,9/1/2019 11:00,1567335600,23,18.84,18.74,18.8,30,22.5,21,21,21,0,1.8,230,74,1.03,0,,,
ChunCheon,Cold,9/1/2019 12:00,1567339200,24.7,19.37,18.78,18.8,34,23.5,21,21,21,0,1.1,230,66,1.09,0,,,
ChunCheon,Cold,9/1/2019 13:00,1567342800,26.1,19.99,18.84,18.8,36.5,24.5,21,21,21,0,1.5,290,53,1.15,0,,,
ChunCheon,Cold,9/1/2019 14:00,1567346400,26.4,20.57,18.91,18.8,37,25,21.5,21.5,21,0,1.3,270,55,1.21,0,,,
ChunCheon,Cold,9/1/2019 15:00,1567350000,26.4,21.1,18.98,18.8,36,25,21.5,21.5,21,0,1.3,290,52,1.01,0,,,
ChunCheon,Cold,9/1/2019 16:00,1567353600,26.6,21.6,19.05,18.8,36,25,21.5,21.5,21,0,1.5,320,55,1.03,0,,,
ChunCheon,Cold,9/1/2019 17:00,1567357200,27,22.09,19.12,18.81,36.5,25.5,21.5,21.5,21,0,1.2,290,39,0.96,0,,,
ChunCheon,Cold,9/1/2019 18:00,1567360800,27.2,22.55,19.2,18.81,36.5,25.5,22,21.5,21,0,1,290,49,0.76,0,,,
ChunCheon,Cold,9/1/2019 19:00,1567364400,24.5,22.73,19.27,18.82,28.5,23.5,22,21.5,21,0,2.1,340,80,0.14,0,,,
ChunCheon,Cold,9/1/2019 20:00,1567368000,22.9,22.75,19.32,18.82,25,22.5,22,21.5,21,0,1.3,320,79,0,0,,,
ChunCheon,Cold,9/1/2019 21:00,1567371600,22.1,22.69,19.35,18.82,24,22.5,22.5,21.5,21,0,0.9,340,84,0,0,,,
ChunCheon,Cold,9/1/2019 22:00,1567375200,21.4,22.57,19.38,18.83,23,22,22.5,21.5,21,0,0.4,0,86,0,0,,,
ChunCheon,Cold,9/1/2019 23:00,1567378800,20.9,22.42,19.4,18.83,22,21.5,22.5,21.5,21,0,0.8,340,89,0,0,,,
ChunCheon,Cold,9/2/2019 0:00,1567382400,20.1,22.21,19.42,18.83,21.5,21.5,22.5,21.5,20.5,0,0.4,0,91,0,0,,,
ChunCheon,Cold,9/2/2019 1:00,1567386000,19.5,21.96,19.43,18.84,21,21,22.5,21.5,20.5,0,1.1,320,94,0,0,,,
ChunCheon,Cold,9/2/2019 2:00,1567389600,18.8,21.67,19.43,18.84,20.5,21,22.5,21.5,20.5,0,0.5,320,95,0,0,,,
ChunCheon,Cold,9/2/2019 3:00,1567393200,18.5,21.39,19.42,18.84,20,21,22,21.5,20.5,0,0.8,20,94,0,0,,,
ChunCheon,Cold,9/2/2019 4:00,1567396800,18.1,21.09,19.41,18.84,20,20.5,22,21.5,20.5,0,0.2,0,95,0,0,,,
ChunCheon,Cold,9/2/2019 5:00,1567400400,17.8,20.79,19.4,18.85,19.5,20.5,22,21.5,20.5,0,0.6,20,95,0,0,,,
ChunCheon,Cold,9/2/2019 6:00,1567404000,17.4,20.48,19.39,18.85,19.5,20.5,22,21.5,20.5,0,0,0,96,0,0,,,
ChunCheon,Cold,9/2/2019 7:00,1567407600,18,20.25,19.37,18.85,20,20,22,21.5,20.5,0,1.2,340,94,0.05,0,,,
ChunCheon,Cold,9/2/2019 8:00,1567411200,18.6,20.1,19.36,18.85,20.5,20.5,21.5,21.5,21,0,0.9,340,91,0.23,0,,,
ChunCheon,Cold,9/2/2019 9:00,1567414800,19.3,20.03,19.35,18.85,21.5,20.5,21.5,21.5,21,0,1.3,320,88,0.45,0,,,
ChunCheon,Cold,9/2/2019 10:00,1567418400,20.5,20.07,19.36,18.85,23,21,21.5,21.5,21,0,1,250,82,0.91,0,,,
ChunCheon,Cold,9/2/2019 11:00,1567422000,23,20.34,19.38,18.85,28,22.5,21.5,21.5,21,0,1.7,250,73,1.21,0,,,
