Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
BS,9/1/2019 0:00,1567296000,23.7,23.7,23.7,23.7,,2.8,79,,,25,30,29,30,32
BS,9/1/2019 1:00,1567299600,23.4,23.54848485,23.54693878,23.62269635,,2,79,,,24.5,30,29,30,32
BS,9/1/2019 2:00,1567303200,23.1,23.32197735,23.31890879,23.46926829,,0.4,77,,,24,30,29,30,31.5
BS,9/1/2019 3:00,1567306800,23.3,23.31087768,23.30926145,23.38845675,,0.8,77,,,24.5,30,29,30,32
BS,9/1/2019 4:00,1567310400,22.9,23.1033637,23.10045459,23.24300111,,1.5,81,,,24,29.5,29,30,31.5
BS,9/1/2019 5:00,1567314000,22.7,22.89964466,22.89614102,23.06781925,,1.4,82,,,24,29.5,29,30,31.5
BS,9/1/2019 6:00,1567317600,22.4,22.64729887,22.64300785,22.85326804,,0.2,82,0,,23.5,29.5,29,30,31.5
BS,9/1/2019 7:00,1567321200,22.7,22.6739156,22.67208548,22.76176169,,1.1,81,0.08,,24,29.5,29,30,31.5
BS,9/1/2019 8:00,1567324800,23.3,22.99011984,22.99245003,22.87827095,,1.4,76,0.35,,24.5,29.5,29,30,32
BS,9/1/2019 9:00,1567328400,24.3,23.65167548,23.65956736,23.2728651,,1.4,72,0.61,,27,30,28.5,30,32
BS,9/1/2019 10:00,1567332000,25.5,24.58517271,24.59856361,23.9424098,,1.2,65,0.83,,31,30.5,28.5,30,32
BS,9/1/2019 11:00,1567335600,26.2,25.40074205,25.41562299,24.68645687,,1.8,66,1.48,,33,31,28.5,30,32
BS,9/1/2019 12:00,1567339200,26.7,26.05693293,26.07091738,25.38567935,,2.4,74,1.75,,34,31.5,28.5,30,32
BS,9/1/2019 13:00,1567342800,26.7,26.38171428,26.3918779,25.89386044,,2.1,72,1.58,,34,31.5,28.5,30,32
BS,9/1/2019 14:00,1567346400,26.2,26.28993939,26.29398101,26.09594154,,2.8,73,1.03,,31.5,31.5,28.5,30,32
BS,9/1/2019 15:00,1567350000,25.1,25.6889599,25.68480703,25.88829784,0,2.3,82,0.67,,27,31.5,29,30,32
BS,9/1/2019 16:00,1567353600,24.6,25.13898015,25.13133405,25.5059929,0,2.1,85,0.4,,26,31,29,30,32
BS,9/1/2019 17:00,1567357200,24.2,24.66474775,24.65616362,25.07678619,0,2.1,86,0.26,,25,31,29,30,32
BS,9/1/2019 18:00,1567360800,23.6,24.12699636,24.11730463,24.59219954,0,2,90,0.1,,24.5,30.5,29,30,31.5
BS,9/1/2019 19:00,1567364400,23.4,23.75982648,23.75133288,24.16751941,0.3,1.3,93,0.02,,24,30.5,29,30,31.5
BS,9/1/2019 20:00,1567368000,22.6,23.17405553,23.16391815,23.66065008,1.1,1.8,94,,,23.5,30,29,30,31.5
