Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
CC,9/1/2019 0:00,1567296000,18.8,18.8,18.8,18.8,,0.8,90,,,21.5,20,21,21.5,20.5
CC,9/1/2019 1:00,1567299600,18.1,18.44166667,18.4373494,18.60982956,,0.9,93,,,20.5,20,21,21,20.5
CC,9/1/2019 2:00,1567303200,17.6,18.01081349,18.00354188,18.29189822,,0,94,,,20,19.5,21,21,20.5
CC,9/1/2019 3:00,1567306800,17.2,17.5957542,17.5872491,17.92238709,,1.1,95,,,19.5,19.5,21,21,20.5
CC,9/1/2019 4:00,1567310400,17.1,17.34197527,17.33481884,17.61427203,,0.6,96,,,19.5,19.5,21,21,20.5
CC,9/1/2019 5:00,1567314000,17.2,17.26929745,17.26497294,17.431103,,1,97,,,19.5,19.5,21,21,20.5
CC,9/1/2019 6:00,1567317600,17.4,17.33620471,17.33492672,17.38066909,,1.9,96,0,,20,19.5,21,21,20.5
CC,9/1/2019 7:00,1567321200,17.7,17.52243325,17.52406107,17.45586245,,1.3,95,0.06,,20.5,19.5,21,21,20.5
CC,9/1/2019 8:00,1567324800,18.1,17.81809242,17.82243907,17.64809165,,2,94,0.22,,21,20,21,21,20.5
CC,9/1/2019 9:00,1567328400,19.1,18.47430701,18.48430799,18.08659534,,1.6,88,0.46,,22.5,20,21,21,20.5
CC,9/1/2019 10:00,1567332000,20.4,19.46007842,19.47677493,18.81559195,,0.6,81,0.97,,24.5,21,21,21,21
CC,9/1/2019 11:00,1567335600,23,21.27218114,21.30206021,20.11947165,,1.8,74,2.32,,30,22.5,21,21,21
CC,9/1/2019 12:00,1567339200,24.7,23.02689794,23.06243865,21.66273483,,1.1,66,2.22,,34,23.5,21,21,21
CC,9/1/2019 13:00,1567342800,26.1,24.60003352,24.63611501,23.22194639,,1.5,53,2.14,,36.5,24.5,21,21,21
CC,9/1/2019 14:00,1567346400,26.4,25.52144493,25.54993495,24.44272088,,1.3,55,1.21,,37,25,21.5,21.5,21
CC,9/1/2019 15:00,1567350000,26.4,25.97118145,25.99033009,25.25427205,,1.3,52,1.01,,36,25,21.5,21.5,21
CC,9/1/2019 16:00,1567353600,26.6,26.29307666,26.30618318,25.80588398,,1.5,55,1.03,,36,25,21.5,21.5,21
CC,9/1/2019 17:00,1567357200,27,26.65495409,26.66563045,26.25672664,,1.2,39,0.96,,36.5,25.5,21.5,21.5,21
CC,9/1/2019 18:00,1567360800,27.2,26.93396568,26.9424725,26.61632508,,1,49,0.76,,36.5,25.5,22,21.5,21
CC,9/1/2019 19:00,1567364400,24.5,25.68800706,25.67709518,26.12380209,,2.1,80,0.14,,28.5,23.5,22,21.5,21
CC,9/1/2019 20:00,1567368000,22.9,24.26081297,24.23835912,25.13509419,,1.3,79,0,,25,22.5,22,21.5,21
CC,9/1/2019 21:00,1567371600,22.1,23.15468252,23.13053452,24.08392266,,0.9,84,,,24,22.5,22.5,21.5,21
CC,9/1/2019 22:00,1567375200,21.4,22.25645218,22.23399254,23.11383735,,0.4,86,,,23,22,22.5,21.5,21
CC,9/1/2019 23:00,1567378800,20.9,21.56207785,21.54288797,22.29004682,,0.8,89,,,22,21.5,22.5,21.5,21
CC,9/2/2019 0:00,1567382400,20.1,20.81363324,20.7953677,21.50625167,,0.4,91,,,21.5,21.5,22.5,21.5,20.5
CC,9/2/2019 1:00,1567386000,19.5,20.14117813,20.12427359,20.78155585,,1.1,94,,,21,21,22.5,21.5,20.5
CC,9/2/2019 2:00,1567389600,18.8,19.45462266,19.43820414,20.07711532,,0.5,95,,,20.5,21,22.5,21.5,20.5
CC,9/2/2019 3:00,1567393200,18.5,18.96594677,18.95214657,19.48719268,,0.8,94,,,20,21,22,21.5,20.5
CC,9/2/2019 4:00,1567396800,18.1,18.5226645,18.51067305,18.97511531,,0.2,95,,,20,20.5,22,21.5,20.5
CC,9/2/2019 5:00,1567400400,17.8,18.1527291,18.14249303,18.53849631,,0.6,95,,,19.5,20.5,22,21.5,20.5
CC,9/2/2019 6:00,1567404000,17.4,17.76740349,17.75782797,18.12912145,,0,96,0,,19.5,20.5,22,21.5,20.5
CC,9/2/2019 7:00,1567407600,18,17.88647075,17.88329059,18.00021014,,1.2,94,0.05,,20,20,22,21.5,20.5
