Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
DG,11/5/2020 16:00,1604592000,13.1,13.1,13.1,13.1,,3.4,25,1.15,,8,8,12,12,12.5
DG,11/5/2020 17:00,1604595600,10.6,11.85,12.87272727,13.09977295,,3.2,34,0.34,,7.5,7.5,10,10.5,11
DG,11/5/2020 18:00,1604599200,9.6,10.725,12.57520661,13.09924891,,3.7,39,0,,7.5,7.5,9.5,10.5,11
DG,11/5/2020 19:00,1604602800,8.5,9.6125,12.20473328,13.09835529,,4.2,43,,,7.5,7,9,10.5,11
DG,11/5/2020 20:00,1604606400,8.1,8.85625,11.83157571,13.09708978,,3.5,42,,,7,7,9,10.5,11
DG,11/5/2020 21:00,1604610000,7.8,8.328125,11.46506883,13.09545939,,3,44,,,7,6.5,9,10.5,11
DG,11/5/2020 22:00,1604613600,7.1,7.7140625,11.06824439,13.0934342,,3.4,48,,,6.5,6.5,9,10,11
DG,11/5/2020 23:00,1604617200,7.4,7.55703125,10.73476763,13.09107789,,3.4,44,,,6.5,6,9,10,11
DG,11/6/2020 0:00,1604620800,6.9,7.228515625,10.38615239,13.08837566,,1.5,47,,,6.5,6,9,10,11
DG,11/6/2020 1:00,1604624400,7.3,7.264257813,10.10559308,13.08539586,,2.4,41,,,6.5,6,9,10,11
DG,11/6/2020 2:00,1604628000,7.4,7.332128906,9.859630073,13.08217332,,1.9,39,,,6.5,6,9,10,11
DG,11/6/2020 3:00,1604631600,7.4,7.366064453,9.636027339,13.07873061,,3.6,39,,,6,6,9,10,11
DG,11/6/2020 4:00,1604635200,7,7.183032227,9.39638849,13.07505195,,1.1,41,,,6,5.5,9,10,11
DG,11/6/2020 5:00,1604638800,6.4,6.791516113,9.123989537,13.07110483,,1.7,44,,,6,5.5,9,10,11
DG,11/6/2020 6:00,1604642400,6.3,6.545758057,8.867263215,13.06690519,,1.4,45,,,6,5.5,9,10,11
DG,11/6/2020 7:00,1604646000,5.4,5.972879028,8.552057468,13.06239485,,0.9,50,0,,6,5.5,9,10,11
DG,11/6/2020 8:00,1604649600,5.9,5.936439514,8.310961335,13.05764817,,1.1,50,0.05,,6,5.5,9,10,11
DG,11/6/2020 9:00,1604653200,8,6.968219757,8.282692123,13.05287798,,0.9,42,0.45,,6,5.5,9,10,11
DG,11/6/2020 10:00,1604656800,10.6,8.784109879,8.493356475,13.04832302,,2.5,30,0.89,,6,5.5,9,10,11
DG,11/6/2020 11:00,1604660400,12.1,10.44205494,8.821233159,13.04410015,,4.7,26,1.46,,6.5,6,9,10,11
DG,11/6/2020 12:00,1604664000,13.5,11.97102747,9.246575599,13.04030642,,6.2,19,1.87,,7,6.5,9,10,11
DG,11/6/2020 13:00,1604667600,14.1,13.03551373,9.687795999,13.03695726,,4.5,24,2.43,,7.5,7.5,9,10,11
DG,11/6/2020 14:00,1604671200,13.8,13.41775687,10.06163273,13.0339849,,4.2,36,2.17,,8.5,8,9,10,11
DG,11/6/2020 15:00,1604674800,12.8,13.10887843,10.31057521,13.03126422,,5.9,38,1.72,,9,9,9,10,11
DG,11/6/2020 16:00,1604678400,11.8,12.45443922,10.44597746,13.02868151,,4.9,59,0.91,,9.5,9.5,9,10,11
DG,11/6/2020 17:00,1604682000,10.6,11.52721961,10.45997951,13.02611538,,4.8,67,0.37,,9.5,9.5,9,10,11
DG,11/6/2020 18:00,1604685600,10.1,10.8136098,10.4272541,13.02351911,,7,77,0.01,,9.5,9.5,9,10,11
DG,11/6/2020 19:00,1604689200,10,10.4068049,10.38841282,13.02088664,,6.3,83,,,9.5,9,9,10,11
DG,11/6/2020 20:00,1604692800,10,10.20340245,10.35310256,13.01822152,,5.9,85,,,9.5,9,9,10,11
DG,11/6/2020 21:00,1604696400,10,10.10170123,10.32100233,13.01552699,,4.2,84,,,9,9,9,10,10.5
DG,11/6/2020 22:00,1604700000,9.8,9.950850613,10.27363848,13.01278784,,4.4,85,,,9,9,9,10,10.5
DG,11/6/2020 23:00,1604703600,9.8,9.875425306,10.23058044,13.01000842,,4.3,84,,,9,8.5,9,10,10.5
DG,11/7/2020 0:00,1604707200,9.8,9.837712653,10.19143676,13.00719266,,5.7,85,,,9,8.5,9,10,10.5
DG,11/7/2020 1:00,1604710800,9.8,9.818856327,10.1558516,13.00434417,,6.6,84,,,8.5,8.5,9,10,10.5
DG,11/7/2020 2:00,1604714400,9.6,9.709428163,10.10531964,13.00144804,,5.4,85,,,8.5,8.5,9,10,10.5
DG,11/7/2020 3:00,1604718000,9.8,9.754714082,10.07756331,12.99852707,,7,85,,,8.5,8,9,10,10.5
DG,11/7/2020 4:00,1604721600,10.1,9.927357041,10.07960301,12.99561107,,7,85,,,8.5,8,9,10,10.5
DG,11/7/2020 5:00,1604725200,9.8,9.86367852,10.05418455,12.99267258,,7.1,84,,,8.5,8,9,10,10.5
DG,11/7/2020 6:00,1604728800,9.8,9.83183926,10.03107686,12.98971394,,7.1,83,,,8.5,8,9,10,10.5
DG,11/7/2020 7:00,1604732400,10.1,9.96591963,10.0373426,12.98676452,,8.8,84,0,,8.5,8,9,10,10.5
