Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
GY,9/1/2019 0:00,1567296000,21.7,21.7,21.7,21.7,,0,79,,,22.5,19.5,21.5,24.5,26.5
GY,9/1/2019 1:00,1567299600,21.2,21.44431818,21.43837209,21.56149111,,1.2,80,,,21.5,19,21.5,24.5,26.5
GY,9/1/2019 2:00,1567303200,20.6,21.01256457,20.99968902,21.26406647,,1.6,83,,,20.5,19,22,24.5,26.5
GY,9/1/2019 3:00,1567306800,20.1,20.54591223,20.52892151,20.87487208,,1.2,85,,,20,18.5,22,25,26.5
GY,9/1/2019 4:00,1567310400,19.8,20.16447984,20.14750909,20.48979756,,1.5,85,,,20,18.5,22,25,26.5
GY,9/1/2019 5:00,1567314000,19.5,19.82468901,19.8086962,20.12921448,,1.6,87,,,19.5,18.5,22,25,26.5
GY,9/1/2019 6:00,1567317600,19.3,19.55638213,19.54251795,19.81861044,,1.6,88,,,19.5,18.5,22,25,26.5
GY,9/1/2019 7:00,1567321200,19.5,19.52755036,19.52027019,19.6606656,,1.9,85,0.16,,20,18.5,22,25,26.5
GY,9/1/2019 8:00,1567324800,20.9,20.2293712,20.24222183,19.96854831,,1.7,74,0.73,,22.5,19,21.5,25,26.5
GY,9/1/2019 9:00,1567328400,22.6,21.44162456,21.47594297,20.76658078,,1.1,67,1.22,,25,20,21.5,24.5,26.5
GY,9/1/2019 10:00,1567332000,24.7,23.10783928,23.16294955,22.0352466,,1,59,1.95,,28.5,21,21.5,24.5,26.5
GY,9/1/2019 11:00,1567335600,26.2,24.68905783,24.75210386,23.47358279,,1.7,55,2.34,,30.5,21.5,21.5,24.5,26.5
GY,9/1/2019 12:00,1567339200,27,25.87078962,25.92832858,24.77315409,,2.3,50,2.1,,31,22,21.5,24.5,26
GY,9/1/2019 13:00,1567342800,27.3,26.60163584,26.64606363,25.76469444,,1.5,47,1.89,,31,22,21.5,24,26
GY,9/1/2019 14:00,1567346400,27.3,26.95875387,26.98823964,26.41245366,,2.3,40,1.13,,30.5,22,21.5,24,26
GY,9/1/2019 15:00,1567350000,27.4,27.1843911,27.20369564,26.83134647,,0.9,43,1.09,,30,22,21.5,24,25.5
GY,9/1/2019 16:00,1567353600,27.7,27.44805474,27.46338978,27.16595764,,2.1,44,1.36,,30,22,21.5,24,25.5
GY,9/1/2019 17:00,1567357200,27.1,27.2700722,27.27324397,27.22275628,,1.3,51,0.77,,28.5,21.5,21.5,24,25.5
GY,9/1/2019 18:00,1567360800,26.3,26.77401255,26.7639884,26.97987917,,1.2,51,0.33,,26.5,21.5,21.5,24,25.5
GY,9/1/2019 19:00,1567364400,25.5,26.12252886,26.10259912,26.51543679,,1.5,55,0.1,,25,21,21.5,24,25.5
GY,9/1/2019 20:00,1567368000,24.6,25.34396297,25.3163554,25.88062899,,1.6,57,0,,23.5,20.5,21.5,24,25.5
GY,9/1/2019 21:00,1567371600,24.1,24.70784554,24.67989036,25.24494384,,1.1,60,,,22.5,20.5,21.5,24,25.5
GY,9/1/2019 22:00,1567375200,23.6,24.14133362,24.11483145,24.64664904,,0.7,59,,,22,20,21.5,24,25.5
GY,9/1/2019 23:00,1567378800,23.1,23.60883347,23.58381499,24.08397219,,1.1,62,,,21.5,20,21.5,24.5,25.5
GY,9/2/2019 0:00,1567382400,22.5,23.04181636,23.0167025,23.51894706,,0.1,68,,,20.5,19.5,21.5,24.5,26
GY,9/2/2019 1:00,1567386000,21.8,22.40679663,22.38005584,22.91600465,,1.4,73,,,20,19,21.5,24.5,26
GY,9/2/2019 2:00,1567389600,21.4,21.89195744,21.86723592,22.36077415,,0.3,71,,,20,19,22,24.5,26
GY,9/2/2019 3:00,1567393200,20.8,21.33357011,21.30879852,21.80384588,,1.1,75,,,19.5,19,22,24.5,26
GY,9/2/2019 4:00,1567396800,20.4,20.85617631,20.83326441,21.29000863,,1.6,77,,,19,18.5,22,24.5,26
GY,9/2/2019 5:00,1567400400,20.1,20.46949524,20.44957955,20.84507559,,1.4,78,,,19,18.5,22,24.5,26
GY,9/2/2019 6:00,1567404000,19.6,20.02486699,20.00503211,20.40034669,,1.5,81,,,18.5,18.5,22,24.5,26.5
GY,9/2/2019 7:00,1567407600,19.5,19.7564691,19.74077112,20.05115962,,1.8,81,0.1,,18.5,18.5,22,24.5,26.5
GY,9/2/2019 8:00,1567411200,20.9,20.34122922,20.34734437,20.20796331,,1.4,71,0.59,,20.5,19,22,24.5,26.5
GY,9/2/2019 9:00,1567414800,23.5,21.95650973,21.99698976,21.15509496,,1.2,55,1.39,,25,20,21.5,24.5,26.5
