Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
NYJ,9/1/2019 0:00,1567296000,19.6,19.6,19.6,19.6,,0.6,87,,,22.5,19.5,21.5,24.5,26.5
NYJ,9/1/2019 1:00,1567299600,18.8,19.2,19.52727273,19.59992735,,0.4,89,,,21.5,19,21.5,24.5,26.5
NYJ,9/1/2019 2:00,1567303200,18.7,18.95,19.45206612,19.59977963,,0.3,91,,,20.5,19,22,24.5,26.5
NYJ,9/1/2019 3:00,1567306800,18.1,18.525,19.32915101,19.59950927,,0.3,92,,,20,18.5,22,25,26.5
NYJ,9/1/2019 4:00,1567310400,17.7,18.1125,19.18104638,19.59909123,,0,94,,,20,18.5,22,25,26.5
NYJ,9/1/2019 5:00,1567314000,17.7,17.90625,19.0464058,19.5985391,,0.6,95,,,19.5,18.5,22,25,26.5
NYJ,9/1/2019 6:00,1567317600,17.4,17.653125,18.89673254,19.59783799,,0.1,95,,,19.5,18.5,22,25,26.5
NYJ,9/1/2019 7:00,1567321200,17.9,17.7765625,18.80612049,19.59704706,,0.5,95,,,20,18.5,22,25,26.5
NYJ,9/1/2019 8:00,1567324800,18.4,18.08828125,18.76920045,19.59622004,,0.5,96,,,22.5,19,21.5,25,26.5
NYJ,9/1/2019 9:00,1567328400,19.5,18.79414063,18.83563677,19.59546022,,0.7,93,,,25,20,21.5,24.5,26.5
NYJ,9/1/2019 10:00,1567332000,22.7,20.74707031,19.18694252,19.59505211,,1.5,77,,,28.5,21,21.5,24.5,26.5
NYJ,9/1/2019 11:00,1567335600,25,22.87353516,19.71540229,19.59517234,,1.3,60,,,30.5,21.5,21.5,24.5,26.5
NYJ,9/1/2019 12:00,1567339200,26.8,24.83676758,20.35945663,19.59593586,,1.7,55,,,31,22,21.5,24.5,26
NYJ,9/1/2019 13:00,1567342800,26.7,25.76838379,20.93586966,19.59727446,,1.3,51,,,31,22,21.5,24,26
NYJ,9/1/2019 14:00,1567346400,26.6,26.18419189,21.4507906,19.59912612,,1.4,49,,,30.5,22,21.5,24,26
NYJ,9/1/2019 15:00,1567350000,26.4,26.29209595,21.90071873,19.60142541,,1.3,51,,,30,22,21.5,24,25.5
NYJ,9/1/2019 16:00,1567353600,27,26.64604797,22.36428975,19.60418552,,0.9,50,,,30,22,21.5,24,25.5
NYJ,9/1/2019 17:00,1567357200,27,26.82302399,22.78571796,19.60736387,,1.1,48,,,28.5,21.5,21.5,24,25.5
NYJ,9/1/2019 18:00,1567360800,26.3,26.56151199,23.10519814,19.61085821,,1.4,52,,,26.5,21.5,21.5,24,25.5
NYJ,9/1/2019 19:00,1567364400,24.7,25.630756,23.25018013,19.6144939,,0.9,64,,,25,21,21.5,24,25.5
NYJ,9/1/2019 20:00,1567368000,23.3,24.465378,23.25470921,19.61813048,,0.3,72,,,23.5,20.5,21.5,24,25.5
NYJ,9/1/2019 21:00,1567371600,22.1,23.282689,23.14973564,19.62165855,,0.9,81,,,22.5,20.5,21.5,24,25.5
NYJ,9/1/2019 22:00,1567375200,21.4,22.3413445,22.99066877,19.6250242,,0.5,83,,,22,20,21.5,24,25.5
NYJ,9/1/2019 23:00,1567378800,20.7,21.52067225,22.78242615,19.62817845,,0.3,87,,,21.5,20,21.5,24.5,25.5
NYJ,9/2/2019 0:00,1567382400,20.2,20.86033612,22.54766014,19.63109501,,0.4,88,,,20.5,19.5,21.5,24.5,26
NYJ,9/2/2019 1:00,1567386000,19.7,20.28016806,22.28878194,19.63375004,,0,87,,,20,19,21.5,24.5,26
NYJ,9/2/2019 2:00,1567389600,19.2,19.74008403,22.00798359,19.63612191,,0.1,91,,,20,19,22,24.5,26
NYJ,9/2/2019 3:00,1567393200,18.8,19.27004202,21.71634871,19.63820005,,0,93,,,19.5,19,22,24.5,26
NYJ,9/2/2019 4:00,1567396800,19,19.13502101,21.46940792,19.64002943,,0.6,94,,,19,18.5,22,24.5,26
NYJ,9/2/2019 5:00,1567400400,18.4,18.7675105,21.19037084,19.64157823,,0.6,93,,,19,18.5,22,24.5,26
NYJ,9/2/2019 6:00,1567404000,18.7,18.73375525,20.96397349,19.6428993,,0.1,94,,,18.5,18.5,22,24.5,26.5
NYJ,9/2/2019 7:00,1567407600,18.9,18.81687763,20.77633954,19.64403161,,0.4,95,,,18.5,18.5,22,24.5,26.5
NYJ,9/2/2019 8:00,1567411200,19.1,18.95843881,20.62394503,19.64501054,,0.7,95,,,20.5,19,22,24.5,26.5
NYJ,9/2/2019 9:00,1567414800,22.1,20.52921941,20.75813185,19.64612255,,0.8,84,,,25,20,21.5,24.5,26.5
NYJ,9/2/2019 10:00,1567418400,23.7,22.1146097,21.02557441,19.64750063,,1.5,72,,,28,21,21.5,24.5,26
NYJ,9/2/2019 11:00,1567422000,26.1,24.10730485,21.48688582,19.64933817,,1.6,59,,,30.5,22,21.5,24.5,26
NYJ,9/2/2019 12:00,1567425600,27.4,25.75365243,22.02444166,19.6517109,,1.4,51,,,30.5,22,21.5,24,26
NYJ,9/2/2019 13:00,1567429200,27.7,26.72682621,22.54040151,19.65459671,,1.3,46,,,32,22.5,21.5,24,25.5
NYJ,9/2/2019 14:00,1567432800,27.5,27.11341311,22.9912741,19.65793005,,1.9,47,,,32.5,22.5,21.5,24,25.5
NYJ,9/2/2019 15:00,1567436400,27.7,27.40670655,23.41934009,19.6616877,,1.4,45,,,31.5,22.5,21.5,24,25
NYJ,9/2/2019 16:00,1567440000,27.6,27.50335328,23.79940008,19.66582128,,0.9,42,,,29,22,21.5,24,25
NYJ,9/2/2019 17:00,1567443600,26.6,27.05167664,24.05400007,19.67020508,,1.1,62,,,27.5,22,21.5,24,25
NYJ,9/2/2019 18:00,1567447200,26.2,26.62583832,24.24909098,19.67477939,,1.2,64,,,26,21.5,21.5,24,25
NYJ,9/2/2019 19:00,1567450800,24.7,25.66291916,24.29008271,19.67939008,,0.6,70,,,24.5,21,21.5,24,25.5
NYJ,9/2/2019 20:00,1567454400,23.1,24.38145958,24.18189337,19.68388809,,1.1,64,,,23,20.5,21.5,24,25.5
NYJ,9/2/2019 21:00,1567458000,22.5,23.44072979,24.02899397,19.68822885,,0.5,61,,,22.5,20.5,21.5,24,25.5
NYJ,9/2/2019 22:00,1567461600,22.1,22.77036489,23.85363088,19.69239009,,0.7,71,,,22,20.5,21.5,24,25.5
NYJ,9/2/2019 23:00,1567465200,21.3,22.03518245,23.62148262,19.69631526,,0,80,,,21.5,20,22,24,25.5
NYJ,9/3/2019 0:00,1567468800,20.8,21.41759122,23.3649842,19.69998027,,1.1,84,,,21,20,22,24.5,25.5
NYJ,9/3/2019 1:00,1567472400,20.5,20.95879561,23.10453109,19.70338142,,0.7,84,,,21,20,22,24.5,25.5
NYJ,9/3/2019 2:00,1567476000,20.3,20.62939781,22.84957372,19.70652446,,1.3,83,,,21,20,22,24.5,26
NYJ,9/3/2019 3:00,1567479600,20.3,20.4646989,22.61779429,19.70943283,,0.5,85,,,21,19.5,22,24.5,26
NYJ,9/3/2019 4:00,1567483200,20.1,20.28234945,22.3889039,19.71210962,,0.5,88,,,21,19.5,22,24.5,26
NYJ,9/3/2019 5:00,1567486800,19.8,20.04117473,22.153549,19.71454862,0.1,1.1,89,,,21,19.5,22,24.5,26
NYJ,9/3/2019 6:00,1567490400,19.9,19.97058736,21.94868091,19.71678052,0.4,1.1,91,,,21,19.5,22,24.5,26
NYJ,9/3/2019 7:00,1567494000,19.5,19.73529368,21.72607355,19.71878781,0,1.1,94,,,21,19.5,22,24.5,26
NYJ,9/3/2019 8:00,1567497600,19.9,19.81764684,21.56006687,19.72062725,,0.2,92,,,21.5,19.5,22,24.5,26
NYJ,9/3/2019 9:00,1567501200,20.8,20.30882342,21.49096988,19.72239582,,0.7,88,,,23,20,22,24.5,26
NYJ,9/3/2019 10:00,1567504800,22.2,21.25441171,21.55542716,19.72422702,,0.9,79,,,24.5,20.5,22,24.5,26
NYJ,9/3/2019 11:00,1567508400,22.9,22.07720586,21.67766106,19.7261785,,1.7,77,,,26,21,22,24.5,26
NYJ,9/3/2019 12:00,1567512000,24.3,23.18860293,21.91605551,19.72836619,,2.3,64,,,28,21.5,21.5,24.5,26
NYJ,9/3/2019 13:00,1567515600,24.2,23.69430146,22.12368682,19.73075912,,2.2,66,,,29,22,21.5,24.5,26
NYJ,9/3/2019 14:00,1567519200,24.6,24.14715073,22.3488062,19.73337455,,1.9,67,,,29,22,21.5,24,25.5
NYJ,9/3/2019 15:00,1567522800,24.2,24.17357537,22.51709655,19.73615549,,2.9,68,,,29,22,21.5,24,25.5
NYJ,9/3/2019 16:00,1567526400,23.6,23.88678768,22.61554232,19.739032,,2.6,74,,,27.5,22,21.5,24,25.5
NYJ,9/3/2019 17:00,1567530000,23,23.44339384,22.65049302,19.74194056,,1.3,81,,,26,21.5,22,24,25.5
NYJ,9/3/2019 18:00,1567533600,23,23.22169692,22.68226638,19.74487794,,1.6,80,,,24.5,21,22,24.5,25.5
NYJ,9/3/2019 19:00,1567537200,22.4,22.81084846,22.6566058,19.74778676,,2.1,86,,,23.5,20.5,22,24.5,25.5
NYJ,9/3/2019 20:00,1567540800,22.1,22.45542423,22.60600527,19.75064213,,1.4,87,,,21,20,22,24.5,26
NYJ,9/3/2019 21:00,1567544400,21.8,22.12771212,22.53273206,19.75342144,,0.7,88,,,21,19.5,22,24.5,26
NYJ,9/3/2019 22:00,1567548000,21.8,21.96385606,22.46612006,19.75613143,,0.5,88,,,21,19.5,22,24.5,26
NYJ,9/3/2019 23:00,1567551600,21.9,21.93192803,22.4146546,19.75878729,,1.2,87,,,21,19.5,22,24.5,26
NYJ,9/4/2019 0:00,1567555200,21.8,21.86596401,22.35877691,19.76138468,,0.8,86,,,21,19.5,22,24.5,26
NYJ,9/4/2019 1:00,1567558800,21.6,21.73298201,22.28979719,19.76391057,,0.6,87,,,21,19.5,22,24.5,26
NYJ,9/4/2019 2:00,1567562400,21.5,21.616491,22.21799744,19.76636221,,0.6,88,,,21.5,19.5,22,24.5,26
NYJ,9/4/2019 3:00,1567566000,21.4,21.5082455,22.14363404,19.7687371,,1,86,,,21.5,19.5,22,24.5,26.5
NYJ,9/4/2019 4:00,1567569600,21.2,21.35412275,22.05784913,19.77102393,,0.6,88,,,21.5,19.5,22,25,26.5
NYJ,9/4/2019 5:00,1567573200,21,21.17706138,21.96168103,19.7732124,,0.8,90,,,22,19.5,22,25,26.5
NYJ,9/4/2019 6:00,1567576800,20.5,20.83853069,21.82880093,19.77526593,1,1.7,91,,,22,19.5,22,25,26.5
NYJ,9/4/2019 7:00,1567580400,20.3,20.56926534,21.68981903,19.77717857,1.5,1.4,95,,,21.5,19.5,22,25,26.5
NYJ,9/4/2019 8:00,1567584000,20.7,20.63463267,21.59983548,19.77899941,0.5,2,95,,,21,19.5,22,25,26.5
NYJ,9/4/2019 9:00,1567587600,21.6,21.11731634,21.59985044,19.78081844,0.5,2.7,94,,,21,19.5,22,25,26.5
NYJ,9/4/2019 10:00,1567591200,22.6,21.85865817,21.69077312,19.78272649,,2.6,89,,,22.5,20,22,25,26.5
NYJ,9/4/2019 11:00,1567594800,24.2,23.02932908,21.91888466,19.78486051,,2.7,79,,,22,19.5,22,25,26.5
NYJ,9/4/2019 12:00,1567598400,23.4,23.21466454,22.05353151,19.78712692,0,2.1,86,,,22,19.5,22,25,26.5
NYJ,9/4/2019 13:00,1567602000,23,23.10733227,22.1395741,19.78947701,1,2.3,92,,,23,20,22,25,26.5
NYJ,9/4/2019 14:00,1567605600,24.2,23.65366614,22.32688554,19.79201189,,2.3,86,,,24,20,22,25,26.5
NYJ,9/4/2019 15:00,1567609200,26.5,25.07683307,22.70625959,19.79492322,,1.7,79,,,24,20,22,25,26.5
NYJ,9/4/2019 16:00,1567612800,25,25.03841653,22.91478144,19.79803996,0,0.7,82,,,27.5,21,22,25,26.5
NYJ,9/4/2019 17:00,1567616400,24.5,24.76920827,23.05889222,19.80129756,0.5,0.2,88,,,27,21,22,24.5,26.5
NYJ,9/4/2019 18:00,1567620000,23.8,24.28460413,23.12626565,19.80461921,1,0.8,93,,,25.5,20.5,22,25,26.5
NYJ,9/4/2019 19:00,1567623600,23.6,23.94230207,23.16933241,19.80798056,1,0.4,95,,,24,20.5,22,25,26.5
NYJ,9/4/2019 20:00,1567627200,23.3,23.62115103,23.18121128,19.81135042,0,0.5,96,,,24,20,22,25,26.5
