Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
PC,9/1/2019 0:00,1567296000,18.3,18.3,18.3,18.3,,0.5,96,,,21,25,20.5,20,19
PC,9/1/2019 1:00,1567299600,18.1,18.2,18.28181818,18.29998184,,0.3,97,,,20.5,25,20.5,20,19
PC,9/1/2019 2:00,1567303200,17.7,17.95,18.22892562,18.29991085,,0,96,,,20,25,20.5,20,19
PC,9/1/2019 3:00,1567306800,17.2,17.575,18.13538693,18.29974649,,0.7,98,,,19.5,25,20.5,20,19
PC,9/1/2019 4:00,1567310400,17.2,17.3875,18.05035175,18.29949735,,0.2,98,,,19.5,25,20.5,20,19
PC,9/1/2019 5:00,1567314000,16.6,16.99375,17.91850159,18.29911673,,0.7,99,,,18.5,24.5,20.5,20,19
PC,9/1/2019 6:00,1567317600,16.2,16.596875,17.76227418,18.29858042,,0.4,99,,,18.5,24.5,20.5,20,19
PC,9/1/2019 7:00,1567321200,16.7,16.6484375,17.6657038,18.29794818,,0.5,99,,,19,24.5,20.5,20,19
PC,9/1/2019 8:00,1567324800,18.8,17.72421875,17.76882163,18.29741958,,0.4,93,,,22,25.5,20.5,20,19
PC,9/1/2019 9:00,1567328400,21.7,19.71210938,18.12620148,18.29724854,,0.6,82,,,25,26.5,20.5,20,19
PC,9/1/2019 10:00,1567332000,23.8,21.75605469,18.64200135,18.29759294,,0.2,77,,,26.5,27,20.5,19.5,18.5
PC,9/1/2019 11:00,1567335600,25,23.37802734,19.22000123,18.29851443,,0.9,66,,,26.5,27.5,20.5,19.5,18.5
PC,9/1/2019 12:00,1567339200,25.7,24.53901367,19.80909202,18.3000235,,0.8,61,,,26.5,27.5,20.5,19.5,18.5
PC,9/1/2019 13:00,1567342800,25.1,24.81950684,20.29008366,18.30201157,,1.2,65,,,26,27.5,20.5,19.5,18.5
PC,9/1/2019 14:00,1567346400,25.5,25.15975342,20.76371242,18.30447081,,1.2,67,,,26,28,20.5,19.5,18.5
PC,9/1/2019 15:00,1567350000,25.6,25.37987671,21.20337492,18.30736682,,1.1,61,,,25.5,28,20.5,19.5,18.5
PC,9/1/2019 16:00,1567353600,25.1,25.23993835,21.55761357,18.31061382,,1.5,65,,,25,28,20.5,19.5,18.5
PC,9/1/2019 17:00,1567357200,24.6,24.91996918,21.83419415,18.31413388,,0.8,68,,,24,27.5,20.5,19.5,18.5
PC,9/1/2019 18:00,1567360800,23.8,24.35998459,22.01290377,18.31782896,,0.8,69,,,23,27.5,20.5,19.5,18.5
PC,9/1/2019 19:00,1567364400,22.7,23.52999229,22.07536707,18.32158274,,0.9,75,,,22,27,20.5,19.5,18.5
PC,9/1/2019 20:00,1567368000,21.8,22.66499615,22.0503337,18.32530777,,0.5,81,,,21,27,20.5,19.5,18.5
PC,9/1/2019 21:00,1567371600,21,21.83249807,21.95484882,18.32893368,,0.8,84,,,20,26.5,20.5,19.5,18.5
PC,9/1/2019 22:00,1567375200,19.5,20.66624904,21.73168074,18.33233303,,1,91,,,18.5,26,20.5,19.5,18.5
PC,9/1/2019 23:00,1567378800,19.3,19.98312452,21.51061886,18.33550814,,0,91,,,18.5,26,20.5,19.5,19
PC,9/2/2019 0:00,1567382400,18.2,19.09156226,21.20965351,18.33837941,,0.6,94,,,17,25.5,21,19.5,19
PC,9/2/2019 1:00,1567386000,17.5,18.29578113,20.87241228,18.34091091,,0.5,97,,,16.5,25.5,21,19.5,19
PC,9/2/2019 2:00,1567389600,17.1,17.69789056,20.52946571,18.34309728,,0.3,97,,,16.5,25.5,21,19.5,19
PC,9/2/2019 3:00,1567393200,16.8,17.24894528,20.19042337,18.34494276,,0.6,97,,,16.5,25,21,19.5,19
PC,9/2/2019 4:00,1567396800,16.6,16.92447264,19.86402125,18.34646032,,0.6,98,,,17,25,21,19.5,19
PC,9/2/2019 5:00,1567400400,16.3,16.61223632,19.54001931,18.34765269,,0.7,98,,,17,25,21,19.5,19
PC,9/2/2019 6:00,1567404000,16,16.30611816,19.21819938,18.34852237,,0.7,99,,,17,25,21,19.5,19
PC,9/2/2019 7:00,1567407600,16.2,16.25305908,18.94381762,18.34911707,,0.8,99,,,17.5,25,21,19.5,19
PC,9/2/2019 8:00,1567411200,17.8,17.02652954,18.8398342,18.3496073,,0.3,95,,,20,25.5,21,20,19
PC,9/2/2019 9:00,1567414800,21.3,19.16326477,19.06348563,18.35032046,,0.5,84,,,24.5,26.5,20.5,19.5,19
PC,9/2/2019 10:00,1567418400,24.2,21.68163239,19.53044148,18.3514994,,0.4,68,,,26.5,27.5,20.5,19.5,18.5
PC,9/2/2019 11:00,1567422000,26.4,24.04081619,20.1549468,18.35330105,,1.2,51,,,27.5,28,20.5,19.5,18.5
PC,9/2/2019 12:00,1567425600,27.7,25.8704081,20.84086073,18.35578612,,1.6,50,,,27.5,28.5,20.5,19,18.5
PC,9/2/2019 13:00,1567429200,27.9,26.88520405,21.48260066,18.35890981,,1.4,48,,,27.5,28.5,20.5,19,18
PC,9/2/2019 14:00,1567432800,28.7,27.79260202,22.13872788,18.36268586,,1,44,,,27,29,20,19,18
PC,9/2/2019 15:00,1567436400,27.8,27.79630101,22.65338898,18.36697227,,1.9,54,,,26,29,20.5,19,18
PC,9/2/2019 16:00,1567440000,26.3,27.04815051,22.98489907,18.37158559,,1.3,60,,,25,28.5,20.5,19,18.5
PC,9/2/2019 17:00,1567443600,25.4,26.22407525,23.2044537,18.37641363,,1.2,63,,,24,28.5,20.5,19,18.5
PC,9/2/2019 18:00,1567447200,25.1,25.66203763,23.37677609,18.38140899,,0.9,61,,,23.5,28,20.5,19,18.5
PC,9/2/2019 19:00,1567450800,23.6,24.63101881,23.39706917,18.38641964,,0.4,71,,,22,28,20.5,19,18.5
PC,9/2/2019 20:00,1567454400,22.4,23.51550941,23.30642652,18.39133474,,0.7,77,,,20.5,27.5,20.5,19,18.5
PC,9/2/2019 21:00,1567458000,21.1,22.3077547,23.10584229,18.39604453,,0.5,84,,,19,27,20.5,19.5,18.5
PC,9/2/2019 22:00,1567461600,20.2,21.25387735,22.84167481,18.40048572,,0.8,87,,,18.5,26.5,21,19.5,18.5
PC,9/2/2019 23:00,1567465200,20.2,20.72693868,22.60152256,18.40468256,,0.2,87,,,19,27,21,19.5,18.5
PC,9/3/2019 0:00,1567468800,19.6,20.16346934,22.32865687,18.40860262,,0.7,89,,,18.5,26.5,21,19.5,18.5
PC,9/3/2019 1:00,1567472400,19,19.58173467,22.0260517,18.41221645,,0.8,92,,,18,26.5,21,19.5,18.5
PC,9/3/2019 2:00,1567476000,19,19.29086733,21.75095609,18.41555186,,0,91,,,18.5,26.5,21,19.5,18.5
PC,9/3/2019 3:00,1567479600,18.7,18.99543367,21.47359645,18.41860685,,1,93,,,18.5,26,21,19.5,18.5
PC,9/3/2019 4:00,1567483200,18.7,18.84771683,21.22145131,18.42140689,,0.6,94,,,18.5,26,21,19.5,18.5
PC,9/3/2019 5:00,1567486800,18.9,18.87385842,21.01041029,18.42399331,,0.2,93,,,19.5,26.5,21,19.5,18.5
PC,9/3/2019 6:00,1567490400,18.7,18.78692921,20.80037299,18.42636731,,0.8,94,,,19.5,26,21,19.5,18.5
PC,9/3/2019 7:00,1567494000,19.1,18.9434646,20.64579362,18.42858452,0,0.8,95,,,20,26.5,21,19.5,18.5
PC,9/3/2019 8:00,1567497600,20.3,19.6217323,20.61435784,18.43076811,,0.8,93,,,22,27,21,19.5,18.5
PC,9/3/2019 9:00,1567501200,21.8,20.71086615,20.72214349,18.4330572,0,0.4,90,,,24,27.5,21,19.5,18.5
PC,9/3/2019 10:00,1567504800,24.4,22.55543308,21.05649408,18.43567801,,0.7,75,,,26.5,28,20.5,19.5,18.5
PC,9/3/2019 11:00,1567508400,25.2,23.87771654,21.43317644,18.43867252,,0.6,73,,,27,28.5,20.5,19.5,18.5
PC,9/3/2019 12:00,1567512000,26.4,25.13885827,21.88470585,18.44211511,,1.3,67,,,27.5,29,20.5,19,18.5
PC,9/3/2019 13:00,1567515600,26.6,25.86942913,22.31336896,18.44598249,,1.1,60,,,27,29,20.5,19,18.5
PC,9/3/2019 14:00,1567519200,27.6,26.73471457,22.79397178,18.45032614,,1.3,58,,,27,29,20.5,19,18
PC,9/3/2019 15:00,1567522800,27.3,27.01735728,23.20361071,18.45507468,,1.1,57,,,26.5,29,20.5,19,18
PC,9/3/2019 16:00,1567526400,26.3,26.65867864,23.48510064,18.46009968,,2.7,60,,,25.5,29,20.5,19,18.5
PC,9/3/2019 17:00,1567530000,25.9,26.27933932,23.70463695,18.46533898,,1.3,67,,,25,29,20.5,19,18.5
PC,9/3/2019 18:00,1567533600,25,25.63966966,23.82239723,18.47069068,,1.9,70,,,24,28.5,20.5,19,18.5
PC,9/3/2019 19:00,1567537200,24.2,24.91983483,23.85672475,18.47607134,,1.1,76,,,23,28.5,20.5,19,18.5
PC,9/3/2019 20:00,1567540800,23.6,24.25991742,23.83338614,18.4814233,,1.7,78,,,22.5,28,20.5,19,18.5
PC,9/3/2019 21:00,1567544400,23.3,23.77995871,23.78489649,18.48672147,,1.4,79,,,22,28,21,19,18.5
PC,9/3/2019 22:00,1567548000,20.7,22.23997935,23.50445135,18.49173419,1.7,1.8,96,,,19,27.5,21,19.5,18.5
PC,9/3/2019 23:00,1567551600,21,21.61998968,23.27677396,18.49651445,0.1,0.3,96,,,20,27.5,21,19.5,18.5
PC,9/4/2019 0:00,1567555200,20.7,21.15999484,23.04252178,18.50105592,,0.5,98,,,19.5,27.5,21,19.5,18.5
PC,9/4/2019 1:00,1567558800,20.7,20.92999742,22.82956525,18.5053801,,0.5,98,,,20,27.5,21,19.5,18.5
PC,9/4/2019 2:00,1567562400,20.2,20.56499871,22.59051387,18.50946115,,0.6,99,,,19.5,27,21,19.5,18.5
PC,9/4/2019 3:00,1567566000,20.5,20.53249935,22.40046715,18.51334827,,0.4,97,,,20.5,27.5,21,19.5,18.5
PC,9/4/2019 4:00,1567569600,20.6,20.56624968,22.23678832,18.51706799,,0.2,96,,,21,27.5,21,19.5,18.5
PC,9/4/2019 5:00,1567573200,20.1,20.33312484,22.04253484,18.52058994,,0.5,97,,,20.5,27,21,19.5,18.5
PC,9/4/2019 6:00,1567576800,20.4,20.36656242,21.89321349,18.52395919,,0.3,96,,,21,27,21,19.5,18.5
PC,9/4/2019 7:00,1567580400,20.7,20.53328121,21.78473953,18.52721671,0,0.2,96,,,22,27.5,21,19.5,18.5
PC,9/4/2019 8:00,1567584000,20.3,20.4166406,21.64976321,18.53033614,2.8,0.7,98,,,21.5,27,21,19.5,18.5
PC,9/4/2019 9:00,1567587600,20.2,20.3083203,21.51796656,18.53332079,3.9,1.4,99,,,21.5,27,21,19.5,18.5
PC,9/4/2019 10:00,1567591200,20.6,20.45416015,21.43451505,18.53621908,0.8,0.8,99,,,22,27.5,21,19.5,18.5
PC,9/4/2019 11:00,1567594800,21.2,20.82708008,21.4131955,18.53909319,0.2,1,97,,,23,27.5,21,19.5,18.5
PC,9/4/2019 12:00,1567598400,20.6,20.71354004,21.33926864,18.54189056,6.6,2.3,99,,,22.5,27.5,21,19.5,18.5
PC,9/4/2019 13:00,1567602000,20.6,20.65677002,21.2720624,18.54461801,21.4,1.5,100,,,22.5,27.5,21,19.5,18.5
PC,9/4/2019 14:00,1567605600,20.8,20.72838501,21.22914763,18.54729986,4.9,1.2,100,,,23,27.5,21,19.5,18.5
PC,9/4/2019 15:00,1567609200,21.1,20.9141925,21.21740694,18.5499673,0.8,1.2,100,,,23.5,27.5,21,19.5,18.5
PC,9/4/2019 16:00,1567612800,22.2,21.55709625,21.30673358,18.55272131,,1.5,99,,,25,28,21,19.5,18.5
PC,9/4/2019 17:00,1567616400,22.6,22.07854813,21.42430326,18.55559002,0.2,0.9,97,,,25.5,28,21,19.5,18.5
