Loaction,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
PJ,9/1/2019 0:00,1567296000,18.1,18.1,18.1,18.1,,0,99,,,17,18.5,23,25,24.5
PJ,9/1/2019 1:00,1567299600,17.6,17.85,18.05454545,18.09995459,,0.3,100,,,16,18.5,23,25,24.5
PJ,9/1/2019 2:00,1567303200,17.2,17.525,17.9768595,18.09983162,,0,100,,,15.5,18.5,23,25,24.5
PJ,9/1/2019 3:00,1567306800,17.5,17.5125,17.93350864,18.09966546,,0.6,100,,,16,18.5,23,25,24.5
PJ,9/1/2019 4:00,1567310400,17.2,17.35625,17.86682604,18.09943286,,0.5,100,,,15.5,18,23,25,24.5
PJ,9/1/2019 5:00,1567314000,17.2,17.278125,17.80620549,18.09913992,,0.5,100,,,15.5,18,23,25,24.5
PJ,9/1/2019 6:00,1567317600,16.8,17.0390625,17.71473226,18.0987559,,0.4,100,,,15,18,23,25,24.5
PJ,9/1/2019 7:00,1567321200,16.7,16.86953125,17.62248387,18.0982801,,1.1,100,,,15,18,23,25,24.5
PJ,9/1/2019 8:00,1567324800,17.2,17.03476563,17.58407625,18.09776641,,0.8,100,,,15.5,18,23,25,24.5
PJ,9/1/2019 9:00,1567328400,18.2,17.61738281,17.64006932,18.09730917,,1.4,100,,,17.5,18.5,23,25,24.5
PJ,9/1/2019 10:00,1567332000,22.2,19.90869141,18.05460847,18.09726651,,1,99,,,26.5,20.5,23,24.5,24.5
PJ,9/1/2019 11:00,1567335600,24,21.9543457,18.59509861,18.09776385,,0.6,78,,,30,22.5,23,24.5,24.5
PJ,9/1/2019 12:00,1567339200,25.2,23.57717285,19.19554419,18.09886053,,0.7,70,,,32,24,23,24.5,24.5
PJ,9/1/2019 13:00,1567342800,25.7,24.63858643,19.78685835,18.10054684,,0.4,59,,,33,24.5,23,24.5,24.5
PJ,9/1/2019 14:00,1567346400,25.9,25.26929321,20.3425985,18.10278665,,0.9,61,,,34,25.5,23.5,24.5,24.5
PJ,9/1/2019 15:00,1567350000,25.7,25.48464661,20.829635,18.10551078,,0.9,64,,,33.5,25.5,23.5,24.5,24.5
PJ,9/1/2019 16:00,1567353600,24.7,25.0923233,21.18148637,18.10858368,,0.5,75,,,31,25,23.5,24.5,24.5
PJ,9/1/2019 17:00,1567357200,25.6,25.34616165,21.58316942,18.1120548,,1.1,65,,,33,26,23.5,24.5,24.5
PJ,9/1/2019 18:00,1567360800,24.6,24.97308083,21.85742675,18.11579643,,0.8,73,,,30,25.5,23.5,24.5,24.5
PJ,9/1/2019 19:00,1567364400,21.7,23.33654041,21.84311523,18.11952002,,0.9,87,,,22,23.5,24,24.5,24.5
PJ,9/1/2019 20:00,1567368000,20.3,21.81827021,21.70283202,18.12309975,,0,90,,,19.5,22.5,24,24.5,24.5
PJ,9/1/2019 21:00,1567371600,18.8,20.3091351,21.4389382,18.12641228,,1.2,95,,,17.5,22,24,24.5,24.5
PJ,9/1/2019 22:00,1567375200,18.6,19.45456755,21.18085291,18.12946367,,0,96,,,17.5,21.5,24,25,24.5
PJ,9/1/2019 23:00,1567378800,18.2,18.82728378,20.90986628,18.13224129,,0,98,,,17,21.5,24,25,24.5
PJ,9/2/2019 0:00,1567382400,17.8,18.31364189,20.62715117,18.13473371,,0.4,99,,,16.5,21,24,25,24.5
PJ,9/2/2019 1:00,1567386000,17.4,17.85682094,20.33377379,18.13693055,,0,100,,,16,20.5,23.5,25,24.5
PJ,9/2/2019 2:00,1567389600,17.1,17.47841047,20.03979435,18.13883152,,0,99,,,15.5,20.5,23.5,25,24.5
PJ,9/2/2019 3:00,1567393200,16.6,17.03920524,19.72708578,18.14041819,,0,100,,,15.5,20,23.5,25,24.5
PJ,9/2/2019 4:00,1567396800,16.4,16.71960262,19.42462343,18.14170111,,0.5,100,,,15,19.5,23.5,25,24.5
PJ,9/2/2019 5:00,1567400400,16.5,16.60980131,19.15874858,18.14271714,,0.3,100,,,15,19.5,23.5,25,25
PJ,9/2/2019 6:00,1567404000,16.1,16.35490065,18.88068052,18.14345437,,0.2,100,,,14.5,19,23.5,25,25
PJ,9/2/2019 7:00,1567407600,16.3,16.32745033,18.6460732,18.14395648,,0.6,100,,,14.5,19,23.5,25,25
PJ,9/2/2019 8:00,1567411200,17.1,16.71372516,18.50552109,18.14431769,,0.5,100,,,15.5,19,23.5,25,25
PJ,9/2/2019 9:00,1567414800,20.5,18.60686258,18.68683736,18.14485966,,0.7,88,,,22,20,23.5,25,25
PJ,9/2/2019 10:00,1567418400,23.7,21.15343129,19.14257942,18.14585639,,1.1,77,,,29.5,22.5,23.5,25,25
PJ,9/2/2019 11:00,1567422000,24.8,22.97671565,19.65689038,18.14736591,,1.2,70,,,31.5,24,23.5,25,25
PJ,9/2/2019 12:00,1567425600,26.8,24.88835782,20.30626398,18.14952265,,0.7,59,,,35.5,26,23.5,25,24.5
PJ,9/2/2019 13:00,1567429200,27.6,26.24417891,20.96933089,18.15233964,,1.1,51,,,37,27,23.5,24.5,24.5
PJ,9/2/2019 14:00,1567432800,27.6,26.92208946,21.57211899,18.15575601,,0.9,47,,,37.5,27.5,23.5,25,24.5
PJ,9/2/2019 15:00,1567436400,27.2,27.06104473,22.08374454,18.15968007,,0.6,55,,,37,28,24,25,24.5
PJ,9/2/2019 16:00,1567440000,26.1,26.58052236,22.44885867,18.16396496,,1,68,,,34,27.5,24,25,24.5
PJ,9/2/2019 17:00,1567443600,24.9,25.74026118,22.6716897,18.16846819,,0.7,80,,,30,26.5,24,25,24.5
PJ,9/2/2019 18:00,1567447200,23.6,24.67013059,22.75608155,18.17305122,,0.7,89,,,26,25.5,24,25,24.5
PJ,9/2/2019 19:00,1567450800,22.6,23.6350653,22.74189231,18.17761549,,0,86,,,23.5,25,24.5,25,24.5
PJ,9/2/2019 20:00,1567454400,21.5,22.56753265,22.62899301,18.18206242,,0.2,94,,,21.5,24,24.5,25,24.5
PJ,9/2/2019 21:00,1567458000,20.4,21.48376632,22.42635728,18.18630248,,0.1,96,,,20,23.5,24.5,25,24.5
PJ,9/2/2019 22:00,1567461600,19.8,20.64188316,22.18759753,18.19029978,,0.1,98,,,19,23,24.5,25,24.5
PJ,9/2/2019 23:00,1567465200,19.8,20.22094158,21.97054321,18.19407624,,0.1,96,,,19,23,24.5,25,25
PJ,9/3/2019 0:00,1567468800,19.2,19.71047079,21.71867565,18.19759732,,0.1,99,,,18,22.5,24.5,25,25
PJ,9/3/2019 1:00,1567472400,19.1,19.4052354,21.48061422,18.20087706,,0.4,99,,,18,22,24,25,25
PJ,9/3/2019 2:00,1567476000,19.2,19.3026177,21.27328566,18.2039464,,0.4,97,,,18,22,24,25,25
PJ,9/3/2019 3:00,1567479600,19,19.15130885,21.06662333,18.20680621,,0.5,99,,,18,21.5,24,25,25
PJ,9/3/2019 4:00,1567483200,19.1,19.12565442,20.88783939,18.20948457,,0.2,98,,,18,21.5,24,25,25
PJ,9/3/2019 5:00,1567486800,18.7,18.91282721,20.6889449,18.21196155,,0.2,99,,,17.5,21,24,25,25
PJ,9/3/2019 6:00,1567490400,18.8,18.85641361,20.51722263,18.21426451,0,1.1,98,,,17.5,21,24,25,25
PJ,9/3/2019 7:00,1567494000,19.2,19.0282068,20.39747512,18.21644554,0,0.2,95,,,18,21,24,25.5,25
PJ,9/3/2019 8:00,1567497600,19.8,19.4141034,20.3431592,18.21857013,,0.7,94,,,19,21,24,25.5,25
PJ,9/3/2019 9:00,1567501200,21.2,20.3070517,20.42105382,18.22077041,,1.5,88,,,22,22,24,25.5,25
PJ,9/3/2019 10:00,1567504800,22.5,21.40352585,20.61004893,18.2231573,,2,82,,,25.5,23,24,25.5,25
PJ,9/3/2019 11:00,1567508400,24.2,22.80176293,20.93640812,18.22586785,,1.3,79,,,30,24.5,24,25,25
PJ,9/3/2019 12:00,1567512000,25.4,24.10088146,21.3421892,18.22898105,,0.6,73,,,33,25.5,24,25,25
PJ,9/3/2019 13:00,1567515600,25.6,24.85044073,21.72926291,18.23247784,,2.1,75,,,33.5,26,24.5,25,25
PJ,9/3/2019 14:00,1567519200,26.7,25.77522037,22.1811481,18.23642256,,1.7,70,,,36,27.5,24.5,25,25
PJ,9/3/2019 15:00,1567522800,26.8,26.28761018,22.60104372,18.24078282,,1.5,67,,,36,28,24.5,25,25
PJ,9/3/2019 16:00,1567526400,26.3,26.29380509,22.93731248,18.24547466,,0.9,71,,,34.5,27.5,24.5,25,25
PJ,9/3/2019 17:00,1567530000,25.7,25.99690255,23.18846589,18.25041272,,1.4,74,,,32,27.5,24.5,25.5,25
PJ,9/3/2019 18:00,1567533600,25.2,25.59845127,23.37133262,18.25552852,,0.7,79,,,30,27,24.5,25.5,25
PJ,9/3/2019 19:00,1567537200,24.7,25.14922564,23.49212057,18.26075988,,1.3,72,,,28.5,27,24.5,25.5,25
PJ,9/3/2019 20:00,1567540800,24.2,24.67461282,23.55647324,18.2660503,,1,75,,,27,26.5,25,25.5,25
PJ,9/3/2019 21:00,1567544400,23.6,24.13730641,23.56043022,18.27133939,,1.5,78,,,25.5,26,25,25.5,25
PJ,9/3/2019 22:00,1567548000,21.2,22.6686532,23.34584566,18.27640883,1.9,0.9,96,,,21,25,25,25.5,25
PJ,9/3/2019 23:00,1567551600,21.1,21.8843266,23.14167787,18.28126924,0,0.8,97,,,21,24.5,25,25.5,25
PJ,9/4/2019 0:00,1567555200,20.8,21.3421633,22.92879806,18.28591213,,0.1,99,,,20.5,24,25,25.5,25
PJ,9/4/2019 1:00,1567558800,20.3,20.82108165,22.68981642,18.29031163,,1.4,100,,,20,23.5,25,25.5,25
PJ,9/4/2019 2:00,1567562400,20.6,20.71054083,22.49983311,18.29451695,,1.6,99,,,20,23.5,25,25.5,25
PJ,9/4/2019 3:00,1567566000,20.6,20.65527041,22.32712101,18.29854552,,1.6,97,,,20,23.5,25,25.5,25
PJ,9/4/2019 4:00,1567569600,20.2,20.42763521,22.13374637,18.30237689,,0.7,97,,,19.5,23,25,25.5,25
PJ,9/4/2019 5:00,1567573200,20.5,20.4638176,21.98522397,18.30605606,,2.3,96,,,20,23,25,25.5,25
PJ,9/4/2019 6:00,1567576800,20.2,20.3319088,21.82293089,18.30956942,,1.3,95,,,19.5,23,25,25.5,25.5
PJ,9/4/2019 7:00,1567580400,20.5,20.4159544,21.70266444,18.31295913,,0.9,96,,,20,22.5,25,25.5,25.5
PJ,9/4/2019 8:00,1567584000,20.6,20.5079772,21.60242222,18.3162453,0.2,1.3,97,,,20,22.5,25,25.5,25.5
PJ,9/4/2019 9:00,1567587600,20.3,20.4039886,21.4840202,18.31940991,1.9,1.4,99,,,19.5,22.5,25,25.5,25.5
PJ,9/4/2019 10:00,1567591200,20.6,20.5019943,21.40365473,18.32249108,1.3,3.4,98,,,20,22.5,25,25.5,25.5
PJ,9/4/2019 11:00,1567594800,21,20.75099715,21.36695884,18.3255325,0.6,2.2,98,,,21,22.5,25,25.5,25.5
PJ,9/4/2019 12:00,1567598400,20.7,20.72549858,21.30632622,18.32851032,8.8,1,99,,,20.5,22.5,25,25.5,25.5
PJ,9/4/2019 13:00,1567602000,20.6,20.66274929,21.24211475,18.33142101,23.3,3,100,,,20,22.5,25,25.5,25.5
PJ,9/4/2019 14:00,1567605600,21,20.83137464,21.22010431,18.33430681,8.7,1.6,100,,,21,22.5,25,25.5,25.5
PJ,9/4/2019 15:00,1567609200,21.7,21.26568732,21.26373119,18.33723331,1.5,1.8,99,,,22.5,23,25,25.5,25.5
