Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,0mm,100mm,500mm,800mm,1100mm,RF,Wind_Speed,Humidity,Solar_Radiation,Snow
WJ,9/1/2019 0:00,1567296000,20.8,20.8,20.8,20.8,19.5,20,20.5,21.5,21.5,,0.8,70,,
WJ,9/1/2019 1:00,1567299600,20.1,20.45,20.73636364,20.79993643,18.5,20,20.5,21.5,21.5,,0,74,,
WJ,9/1/2019 2:00,1567303200,20,20.225,20.66942149,20.79980604,18.5,20,20.5,21.5,21.5,,0,73,,
WJ,9/1/2019 3:00,1567306800,18.9,19.5625,20.50856499,20.79951509,17.5,19.5,20.5,21.5,21.5,,0.6,86,,
WJ,9/1/2019 4:00,1567310400,18.4,18.98125,20.31687726,20.79903294,17.5,19.5,20.5,21.5,21.5,,1,88,,
WJ,9/1/2019 5:00,1567314000,18,18.490625,20.10625206,20.79834085,17,19,20.5,21.5,21.5,,0.5,89,,
WJ,9/1/2019 6:00,1567317600,17.6,18.0453125,19.87841096,20.79742184,17,19,20.5,21.5,21.5,,0.4,92,0,
WJ,9/1/2019 7:00,1567321200,18,18.02265625,19.70764633,20.79633315,17.5,19,20.5,21.5,21.5,,0.1,89,0.06,
WJ,9/1/2019 8:00,1567324800,18.2,18.11132813,19.57058757,20.79510863,17.5,19.5,20.5,21.5,21.5,,0.9,87,0.32,
WJ,9/1/2019 9:00,1567328400,19.6,18.85566406,19.57326143,20.793888,19,20,20.5,21.5,21.5,,0.1,78,1.04,
WJ,9/1/2019 10:00,1567332000,22.5,20.67783203,19.83932857,20.7929344,23,21,20.5,21.5,21.5,,1,67,1.92,
WJ,9/1/2019 11:00,1567335600,24.4,22.53891602,20.25393506,20.79239594,25.5,21.5,20.5,21,21.5,,0.7,59,2.4,
WJ,9/1/2019 12:00,1567339200,25.7,24.11945801,20.74903188,20.79235262,26.5,22,20.5,21,21.5,,1.3,54,2.76,
WJ,9/1/2019 13:00,1567342800,25.9,25.009729,21.21730171,20.79277714,26,22,20.5,21,21,,1.5,55,2.1,
WJ,9/1/2019 14:00,1567346400,26.4,25.7048645,21.6884561,20.79367192,26,22,20.5,21,21,,1.5,47,1.78,
WJ,9/1/2019 15:00,1567350000,26.2,25.95243225,22.09859645,20.79497554,25,22,20.5,21,21,,1.2,49,1.21,
WJ,9/1/2019 16:00,1567353600,25.8,25.87621613,22.43508768,20.79661402,23.5,22,20.5,21,21,,1.4,53,0.8,
WJ,9/1/2019 17:00,1567357200,25.6,25.73810806,22.72280698,20.79853829,23,21.5,20.5,21,21,,0.6,53,0.6,
WJ,9/1/2019 18:00,1567360800,25.3,25.51905403,22.95709726,20.80069469,22,21.5,20.5,21,21,,0.4,56,0.59,
WJ,9/1/2019 19:00,1567364400,24.7,25.10952702,23.11554296,20.80300723,21,21,20.5,21,21,,0.2,56,0.06,
WJ,9/1/2019 20:00,1567368000,23.4,24.25476351,23.14140269,20.80534329,19.5,20.5,20.5,21,21,,0.8,69,,
WJ,9/1/2019 21:00,1567371600,22.8,23.52738175,23.11036608,20.80764601,19,20.5,20.5,21,21,,0,70,,
WJ,9/1/2019 22:00,1567375200,22.2,22.86369088,23.02760553,20.80986375,19,20.5,20.5,21,21,,0.8,73,,
WJ,9/1/2019 23:00,1567378800,21.7,22.28184544,22.90691412,20.8119587,18.5,20,20.5,21,21,,0,76,,
WJ,9/2/2019 0:00,1567382400,21.1,21.69092272,22.7426492,20.81388746,18.5,20,20.5,21,21,,0.4,81,,
WJ,9/2/2019 1:00,1567386000,20.8,21.24546136,22.56604473,20.81563787,18,20,20.5,21,21,,0.1,77,,
WJ,9/2/2019 2:00,1567389600,20.5,20.87273068,22.37822248,20.81719889,18,20,20.5,21.5,21,,0,83,,
WJ,9/2/2019 3:00,1567393200,20.2,20.53636534,22.18020225,20.81856054,18,19.5,20.5,21.5,21,,0,85,,
WJ,9/2/2019 4:00,1567396800,19.6,20.06818267,21.94563841,20.81968649,17.5,19.5,20.5,21.5,21,,0.7,88,,
